feature,max_rel_diff,mean_rel_diff
w000,3.2943386518790056e-10,7.348504263885517e-11
w100,4.716208363366054e-10,1.6237140625792435e-10
w200,1.7806717077626887e-06,6.84497765519796e-07
w300,192.155172414081,11.481879443653082
w010_0,30.564784053278153,0.029984945873164373
w010_1,149.99999999999295,0.09469714789334102
w010_2,3.4239185353989293e-05,1.662110482205445e-07
w110_0,4.6085475232730215e-10,9.440776900788399e-11
w110_1,4.669310015266846e-10,8.71719416503228e-11
w110_2,4.765080036222867e-10,9.201019967701486e-11
w210_0,0.0006678233790667282,3.2903595646693366e-06
w210_1,0.0018757060462578745,8.485067750586478e-06
w210_2,0.003523042040883018,1.373309442409693e-05
w310_0,5.521985416964782e-10,9.568262180414736e-11
w310_1,4.838215692351797e-10,8.984723139649638e-11
w310_2,9.892457026646769e-10,1.0460380745343954e-10
w020_00,4.737518243654133e-10,1.0641217346317121e-10
w020_01,4.846705990389598e-10,9.808209054622001e-11
w020_02,4.727200331983459e-10,9.586594915907666e-11
w020_11,4.863410701873996e-10,8.98372484502722e-11
w020_12,4.5051257906544865e-10,9.667944748792522e-11
w020_22,4.5903003345815133e-10,8.446242655496755e-11
w120_00,4.77700761446587e-10,8.740202330240117e-11
w120_01,4.780078115765771e-10,9.239188592847154e-11
w120_02,4.5309289861315977e-10,8.665242513047664e-11
w120_11,4.5449471574560144e-10,1.0709993889042371e-10
w120_12,4.658915740697746e-10,1.091862208759296e-10
w120_22,4.69837031320519e-10,1.0378773312670923e-10
w220_00,1.5432048766845854e-06,3.9578130535832954e-07
w220_01,0.0009402097320791793,2.0728018087209526e-06
w220_02,0.00035310967545056223,1.5330834736235957e-06
w220_11,1.1780155984240957e-06,3.3753931883228923e-07
w220_12,0.00011081953787370608,4.291125462620255e-07
w220_22,1.2585165107793847e-06,3.3126777777431576e-07
w320_00,4.901002214751422e-10,9.234387318462406e-11
w320_01,4.846544946966793e-10,9.122896523264931e-11
w320_02,1.112677462575887e-09,9.269182969005335e-11
w320_11,4.6499004233693127e-10,1.1664409792727715e-10
w320_12,4.862487607530876e-10,1.1972594125338477e-10
w320_22,4.752683660946752e-10,1.1777576146781947e-10
w102_00,4.6055040728241565e-10,4.817109706959918e-11
w102_01,4.828978418052902e-10,1.156593503699933e-10
w102_02,4.883505358272943e-10,1.059360781713543e-10
w102_11,4.698063233233642e-10,5.3834819279551795e-11
w102_12,4.814986370525983e-10,1.286126191252079e-10
w102_22,3.2465625355342883e-10,6.433916169667172e-11
w202_00,2.0412197623648615e-06,6.547057232154265e-07
w202_01,0.02081658388362886,2.5601426558957018e-05
w202_02,104.91592061344348,0.06624554571028304
w202_11,2.4255911963375244e-06,7.783518812060928e-07
w202_12,0.00013781700374164023,2.097296150608394e-06
w202_22,2.4219301492139013e-06,6.141054268569956e-07
w020_EVal1,4.823410844328019e-10,8.346672393956388e-11
w020_EVal2,4.889106976793226e-10,1.1560541951060058e-10
w020_EVal3,4.901123756799203e-10,8.509206245393125e-11
w120_EVal1,4.6518157443827315e-10,8.587229046175393e-11
w120_EVal2,4.740906442056871e-10,1.0949831459863571e-10
w120_EVal3,4.72384656742377e-10,7.8469733983639e-11
w220_EVal1,1.144865909585062e-06,4.0930214407070273e-07
w220_EVal2,1.2609015374825018e-06,3.6305123227926854e-07
w220_EVal3,1.2800619333221738e-06,3.2406630847808526e-07
w320_EVal1,4.58511988479242e-10,8.906461212276493e-11
w320_EVal2,4.919902398247374e-10,1.2194371607104938e-10
w320_EVal3,4.504102629567144e-10,7.801172839475761e-11
w102_EVal1,3.5203665416987777e-10,9.047050092369476e-11
w102_EVal2,3.3939067155627166e-10,5.88978554573773e-11
w102_EVal3,4.714871382000097e-10,6.672627042890105e-11
w202_EVal1,1.8758338818360618e-06,4.497818628044172e-07
w202_EVal2,2.472979934482748e-06,5.458015900558868e-07
w202_EVal3,3.538415044184704e-06,9.442723345033411e-07
w103_000,90.47183828968932,0.05711605960810778
w103_001,7.729160604089685,0.004879520685665876
w103_002,4.735577169673367e-10,9.95355101150566e-11
w103_010,8.23994786147077,0.005201987388556029
w103_011,4.734912713777524e-10,1.0055902062600393e-10
w103_012,62.79900164541446,0.03964583447714883
w103_020,4.735355684374753e-10,9.95382547559086e-11
w103_021,59.50351144924478,0.037565348242193666
w103_022,4.711423558959686e-10,9.574992614326939e-11
w103_100,23.678914799401955,0.014948809950383803
w103_101,4.734912713777524e-10,1.0053160038992596e-10
w103_102,36.02456252094358,0.022742779474326624
w103_110,4.734912713777524e-10,1.0056183633821265e-10
w103_111,4.734248257881681e-10,1.0507210146063511e-10
w103_112,100.0,0.08828453443699072
w103_120,36.02456252094358,0.022742779474325733
w103_121,194.17081711270185,0.14498334121652914
w103_122,159.26979437565694,0.10711266698876458
w103_200,4.735577169673367e-10,9.95378017316085e-11
w103_201,57.34425140601569,0.03620217902298388
w103_202,4.711423558959686e-10,9.573193396282718e-11
w103_210,62.79900164541446,0.03964583447714933
w103_211,35.75722332038958,0.042729352442775904
w103_212,160.38829494571218,0.1180150237309577
w103_220,4.711423558959686e-10,9.573869422593954e-11
w103_221,182.79750247121393,0.13248790358121962
w103_222,4.712480405877353e-10,1.0262028262295021e-10
w104_EVal0,4.910913615333191e-10,9.578867197564647e-11
w104_EVal1,4.659496661842604e-10,1.470836475600199e-10
w104_EVal2,4.5132938129335785e-10,1.4409544948428967e-10
w104_EVal3,3.878089321058219e-10,1.1810388555586356e-10
w104_EVal4,3.914598357489742e-10,9.282263131503543e-11
w104_EVal5,4.596553414511275e-10,5.0321249841385376e-11
msm_ql_0,4.440892098500626e-14,4.7520909766152535e-15
msm_ql_1,95.02184410827091,62.42606923141021
msm_ql_2,3.268150194705653e-10,9.043576277536189e-11
msm_ql_3,4.964444653761013e-10,1.512097845049327e-10
msm_ql_4,4.760893444652353e-10,1.2331068984918296e-10
msm_ql_5,4.909950140558921e-10,1.0613087001904522e-10
msm_ql_6,3.226862725434171e-10,1.1302776950285114e-10
msm_ql_7,4.926503909715074e-10,6.55741799038989e-11
msm_ql_8,1.14792263312441e-10,5.44144479686353e-11
msm_wl_0,7.771561172376096e-14,4.598594232680336e-14
msm_wl_1,100.0,95.64393939393939
msm_wl_2,4.867014923364744e-10,1.3686756232473375e-10
msm_wl_3,100.0,100.0
msm_wl_4,4.641675362972178e-10,7.18986142535023e-11
msm_wl_5,100.0,100.0
msm_wl_6,4.821603465297703e-10,6.72969259664314e-11
msm_wl_7,100.0,100.0
msm_wl_8,3.7640305195689933e-10,1.5262184020434927e-10
