feature,max_abs_diff,mean_abs_diff,max_val
w000,3.3334799809381366e-08,2.389186384086563e-09,15446.625
w100,5.1179540605517104e-09,1.1415044532510144e-09,1947.32465485
w200,4.169703998968544e-06,1.610723814932607e-06,192.11972316360453
w300,4.5648818058907636e-11,3.5722476893251556e-12,29.321531433504603
w010_0,2.5085211685649256e-11,1.062540499193043e-12,4.210160666660149
w010_1,1.4947043602830945e-11,1.422301479430817e-12,2.216125500024273
w010_2,1.79938980382488e-11,1.1411491604860896e-12,1.5105208333307427
w110_0,4.989260560250841e-09,6.789960331502061e-10,5766.364814091527
w110_1,4.992898539057933e-09,7.452943429706795e-10,6844.50542661
w110_2,4.963339961250313e-09,4.709704152345907e-10,6499.7019598
w210_0,2.3854211463003594e-05,3.351079379422412e-06,1130.1187683154703
w210_1,2.110691662693398e-05,4.506891880097467e-06,838.718528299
w210_2,2.3126072129286968e-05,4.021559528289556e-06,820.6033633548564
w310_0,4.885976068180753e-10,2.0329736955669516e-11,448.4637148
w310_1,4.933156105835224e-10,2.316823160761274e-11,273.728705848
w310_2,4.985167834092863e-10,1.3964542252883999e-11,225.808949672
w020_00,4.995963536202908e-07,1.1824705363020864e-07,772485.741375172
w020_01,4.993635229766369e-07,6.631272764571239e-08,981498.0243442114
w020_02,4.994799382984638e-07,4.448895173919609e-08,372010.152238
w020_11,4.977686330676079e-06,2.8152114300794e-07,3252484.13594
w020_12,3.0479859560728073e-06,2.167344775479379e-07,1700612.87658
w020_22,4.989327862858772e-06,2.915924783785544e-07,2119420.58769
w120_00,4.95361746288836e-07,2.976234524376563e-08,230106.8905521377
w120_01,4.369794623926282e-07,1.7361999458771325e-08,215349.93833626396
w120_02,1.153675839304924e-07,1.3578401119534394e-08,118230.995475
w120_11,5.012843757867813e-07,9.635758060815561e-08,494296.326704
w120_12,4.89133526571095e-07,5.3605687054242124e-08,333529.07519819954
w120_22,4.9924710765481e-07,1.1116041754417672e-07,460660.277435
w220_00,0.0005510581031558104,7.971023362085214e-05,35273.63853249078
w220_01,0.0003852682748402003,4.67750045777044e-05,29225.111621768276
w220_02,0.00034669564593059476,3.747857910961102e-05,16719.054052344443
w220_11,0.0008427508801105432,0.00014944660385292927,64063.2282212501
w220_12,0.0008211346575990319,0.00010851378413705135,41365.848684906494
w220_22,0.0008933807985158637,0.00015689294581779943,65715.63447017988
w320_00,5.002220859751105e-09,6.661189590938745e-10,5572.200919881872
w320_01,4.883759174845181e-09,3.2896489178535493e-10,4870.788091173067
w320_02,4.852836354984902e-09,2.1010149722693598e-10,2869.266414200248
w320_11,5.0151811592513695e-09,1.9119557272984313e-09,8214.570859004307
w320_12,4.986532076145522e-09,6.730937818895178e-10,4444.00277131
w320_22,5.021320248488337e-09,1.7939826706100808e-09,5273.93540891
w102_00,5.211973075347487e-10,2.463129408629402e-10,845.00473863
w102_01,4.968256916981773e-10,6.119343785660885e-11,208.4943473041438
w102_02,4.679918674810324e-10,2.487968529288707e-11,147.292380011
w102_11,5.33532329427544e-10,2.4946478104348356e-10,756.959246357
w102_12,5.01799490848498e-10,5.934615355257578e-11,237.5563873414897
w102_22,5.099423106003087e-10,2.472883132832572e-10,881.691750809
w202_00,1.446967090146245e-06,5.421935511651153e-07,76.85094167288969
w202_01,1.2194518914654395e-06,1.9473630716300731e-07,10.575516939059645
