feature,mean_rel_err_%,max_rel_err_%,n_near_zero,mean_abs_err_nz
w000,5.8153318005532394e-11,3.2943458969595234e-10,0,
w100,1.0309831083413335e-10,4.878961794925446e-10,0,
w200,1.6068095195665748e-06,3.643267855478798e-06,0,
w300,8.324903630710945e-11,3.2595737955390645e-10,207,6.457293769095286e-14
w010_0,4.9162534899650416e-09,9.700173816060981e-07,0,
w010_1,1.1029454982207241e-08,2.31598716393336e-06,0,
w010_2,8.784434363117557e-09,1.198068791986454e-06,0,
w110_0,8.906115812663305e-11,4.969209526232714e-10,0,
w110_1,9.650835122270519e-11,4.946634538845303e-10,0,
w110_2,8.936504182481416e-11,4.707322815260522e-10,0,
w210_0,1.0519149754655854e-05,0.003517168223890809,0,
w210_1,1.2287574270416788e-05,0.0017419050771525614,0,
w210_2,0.0004891600219092783,0.7250100818963645,0,
w310_0,1.0938786969340069e-10,1.421193978283619e-09,0,
w310_1,1.4144672038881693e-10,3.8280431644530303e-08,0,
w310_2,9.760259761512013e-11,5.1870239711944466e-09,0,
w020_00,9.593484232677302e-11,4.888935734598348e-10,0,
w020_01,9.564118552339208e-11,4.757834391586864e-10,0,
w020_02,9.233551427886826e-11,4.5453712373229285e-10,0,
w020_11,9.943894619671054e-11,4.4798188535638623e-10,0,
w020_12,1.0478053442963987e-10,4.765456634004215e-10,0,
w020_22,9.072442615090484e-11,4.898287267662864e-10,0,
w120_00,9.574493267845963e-11,4.679562288329946e-10,0,
w120_01,1.0399488727107165e-10,4.606596736694937e-10,0,
w120_02,1.0661110501433516e-10,4.764017524776085e-10,0,
w120_11,8.855387356498166e-11,4.891224874535508e-10,0,
w120_12,8.171980459918936e-11,4.712484402643211e-10,0,
w120_22,9.597778126153544e-11,4.834684515029145e-10,0,
w220_00,1.1165826492456655e-06,3.21257872625241e-06,0,
w220_01,3.2076095129531892e-06,0.00045513393862461703,0,
w220_02,6.522944781507979e-06,0.0014063062230086326,0,
w220_11,9.833325880429925e-07,3.129532083614343e-06,0,
w220_12,1.253556424525912e-06,8.616568798349676e-05,0,
w220_22,1.0031921731453537e-06,2.684437115859374e-06,0,
w320_00,7.797157098383768e-11,4.946056071993149e-10,0,
w320_01,9.06866369440093e-11,1.5848810999351397e-09,0,
w320_02,1.0177447159084339e-10,4.662787674373665e-10,0,
w320_11,1.3159993729767307e-10,4.746922211440279e-10,0,
w320_12,8.177278531275308e-11,4.697908905787644e-10,0,
w320_22,1.3399283866019768e-10,4.810775683290262e-10,0,
w102_00,7.44818079923514e-11,2.813343372818321e-10,0,
w102_01,8.671404605774672e-11,5.501900564288077e-10,0,
w102_02,8.779633099489167e-11,5.001253577841135e-10,0,
w102_11,8.718573059073897e-11,3.418501428205002e-10,0,
w102_12,7.559422739299468e-11,4.929819560418671e-10,0,
w102_22,9.162629501464142e-11,4.4202522287302045e-10,0,
w202_00,1.5281930508797043e-06,4.1175714941883855e-06,0,
w202_01,6.390858741419817e-05,0.06364994817991619,0,
w202_02,5.6953187636454824e-05,0.05336415333411327,1,7.568638362445317e-08
w202_11,2.050205790742692e-06,4.952970146359151e-06,0,
w202_12,7.644756635050041e-06,0.00042611205008524024,0,
w202_22,1.2721041318783722e-06,3.794899436941408e-06,0,
w020_EVal1,9.394127580705521e-11,4.779404370007417e-10,0,
w020_EVal2,1.1549293709850625e-10,4.885708807972273e-10,0,
w020_EVal3,7.93012736876245e-11,4.780510784912252e-10,0,
w120_EVal1,1.1983035538231783e-10,4.770413361119123e-10,0,
