feature,max_abs_diff,mean_abs_diff
w220_EVal2,6.274532893257856e-07,1.3524870337751811e-07
w220_11,6.264532999011863e-07,1.3184869622762109e-07
w220_EVal3,6.250582771372137e-07,1.3152358503039825e-07
w220_00,6.190582695353442e-07,1.3492356648233302e-07
w200,1.211567521863799e-07,2.0958374828220863e-08
w220_01,5.0616275088000185e-08,6.968310722290622e-09
w202_EVal3,4.749079351995533e-08,1.1991298768757966e-08
w202_22,4.749079351995533e-08,1.1991299212847176e-08
w220_EVal1,4.740541292846956e-08,1.1943327038466123e-08
w220_22,4.740541292846956e-08,1.1943354868056606e-08
w202_EVal1,4.072932391352424e-08,5.6527733012975055e-09
w202_11,3.9589325595557057e-08,4.98004949870771e-09
w202_00,3.8939325541775816e-08,5.857289349838387e-09
w202_EVal2,3.778932544662439e-08,5.2165641584167585e-09
w210_2,3.625107671383393e-08,6.6294075683223916e-09
w220_12,6.840002267217577e-09,6.15701354111269e-10
w220_02,3.222496129408073e-09,2.856479230462913e-10
w210_1,3.0430209014501584e-09,3.6864016595690667e-10
w202_01,2.9013109966234393e-09,4.763716405676336e-10
w210_0,1.102614353119813e-09,1.4501047557650334e-10
w202_12,7.34047534629404e-10,6.198786290553147e-11
w020_11,4.901608008367475e-10,1.2667745371193935e-10
w020_00,4.901608008367475e-10,1.2667721686436077e-10
w020_EVal2,4.901608008367475e-10,1.266660850281672e-10
w020_EVal3,4.901608008367475e-10,1.266585059056524e-10
w120_00,4.4444448121794267e-10,2.385583286468318e-10
w120_EVal3,4.4444448121794267e-10,2.3856306559840355e-10
w120_EVal2,3.987565833085682e-10,9.411375382721114e-11
w120_11,3.987565833085682e-10,9.41199118642544e-11
w202_02,3.310491828291484e-10,2.7855434190351816e-11
w102_22,4.980904577678302e-11,1.7859195603856886e-11
w102_EVal3,4.980904577678302e-11,1.785907718006759e-11
w100,4.842704015572963e-11,2.9285966244666875e-11
w000,4.7407411329913884e-11,1.2069752604778236e-11
w120_22,4.736122605208948e-11,1.335701919439695e-11
w120_EVal1,4.736122605208948e-11,1.3359150822604231e-11
w320_EVal3,4.546762966128881e-11,1.6628180314152512e-11
w320_00,4.546762966128881e-11,1.66293053401508e-11
w020_22,4.221512028834695e-11,1.7724251695957113e-11
w020_EVal1,4.221512028834695e-11,1.7725080662482167e-11
w320_11,2.638245177877252e-11,7.352873865329457e-12
w320_EVal2,2.638245177877252e-11,7.357433181217251e-12
w320_22,1.4129142300589592e-11,2.901212246731659e-12
w320_EVal1,1.4128254122169892e-11,2.898163429431345e-12
w300,6.282085962538986e-12,2.0329481949128614e-12
w102_11,3.858247055177344e-12,1.3409125661686024e-12
w102_00,3.858247055177344e-12,1.341149413747189e-12
w102_EVal2,3.858247055177344e-12,1.3410902018525425e-12
w102_EVal1,3.853806163078843e-12,1.3406165066953691e-12
w310_2,2.913669305826261e-12,2.649370375971943e-13
msm_wl_2,4.599376435265867e-13,2.2641418141892974e-13
msm_ql_4,4.22745172201644e-13,1.8483159715305415e-13
msm_ql_2,4.203859482743155e-13,1.4958056087658144e-13
msm_ql_8,3.781419621873283e-13,1.346623289980551e-13
msm_wl_8,3.5227376571356217e-13,1.275993645074822e-13
msm_wl_4,3.4217073618947325e-13,1.2269366498770462e-13
msm_ql_6,2.744471316873387e-13,9.977390657328885e-14
w320_12,1.05970787700471e-13,1.5409777108467825e-14
w320_01,6.902752024487497e-14,1.3814841175498645e-14
w120_01,6.775719605204993e-14,9.426301865644935e-15
w310_1,5.986877660291159e-14,1.2465627310700484e-14
msm_wl_6,3.0683788843077764e-14,1.3759153389661556e-14
w102_01,2.463285871631563e-14,2.5427109090669465e-15
w310_0,1.664486826363838e-14,4.7224427443816535e-15
w120_02,1.5676711249410563e-14,1.2883161876628719e-15
w020_01,1.3082971154107814e-14,4.623367680570394e-15
w320_02,8.519852130614942e-15,2.4356025559987274e-15
w010_1,7.324002515577787e-15,1.7632944087047873e-15
w010_0,7.10407210461847e-15,1.4950836816080998e-15
w120_12,3.99205220346e-15,8.843174530011913e-16
w110_1,3.66633806647905e-15,8.579619872115839e-16
msm_ql_1,3.3930511253323502e-15,4.012008278374672e-16
w020_12,3.31099714551e-15,8.553592202588793e-16
w110_0,2.7745072407078507e-15,6.41338449828017e-16
w102_02,2.7655368625495363e-15,3.0061956715880047e-16
w020_02,2.7284064031969223e-15,3.6767605150485735e-16
msm_ql_3,1.6007461105906357e-15,1.984763255421352e-16
w010_2,1.3695641842385506e-15,3.0521190617956393e-16
w102_12,1.2555202222393042e-15,1.410399123249297e-16
msm_ql_5,9.425433901575875e-16,1.460276556592969e-16
w110_2,8.829742492720189e-16,2.1904832734308912e-16
msm_wl_0,4.440892098500626e-16,3.2566542055671256e-16
msm_ql_7,3.6332410896411386e-16,7.729154170612253e-17
msm_ql_0,1.1102230246251565e-16,5.921189464667501e-17
msm_wl_7,3.08959503383e-20,2.8749372094898217e-21
msm_wl_5,6.3721925203e-21,7.421856240071868e-22
msm_wl_1,3.40370374037e-21,3.94840347764308e-22
msm_wl_3,2.92771359944e-21,4.969268914131686e-22
