mesh_id,shape,w000,w100,w200,w300,w010_0,w010_1,w010_2,w110_0,w110_1,w110_2,w210_0,w210_1,w210_2,w310_0,w310_1,w310_2,w020_00,w020_01,w020_02,w020_11,w020_12,w020_22,w020_EVal1,w020_EVal2,w020_EVal3,w120_00,w120_01,w120_02,w120_11,w120_12,w120_22,w120_EVal1,w120_EVal2,w120_EVal3,w220_00,w220_01,w220_02,w220_11,w220_12,w220_22,w220_EVal1,w220_EVal2,w220_EVal3,w320_00,w320_01,w320_02,w320_11,w320_12,w320_22,w320_EVal1,w320_EVal2,w320_EVal3,w102_00,w102_01,w102_02,w102_11,w102_12,w102_22,w102_EVal1,w102_EVal2,w102_EVal3,w202_00,w202_01,w202_02,w202_11,w202_12,w202_22,w202_EVal1,w202_EVal2,w202_EVal3
torus_R3.0_r1.0_n016,torus,56.2354980127,38.6001532544,19.6126183216,-4.20722484629e-14,4.16333634234e-15,-6.11143080587e-15,-4.4408920985e-16,-3.21964677141e-15,5.52335954751e-15,3.60822483003e-16,2.39391839685e-15,6.09234884763e-15,4.04976566301e-09,-4.03843625207e-15,-2.91433543964e-15,-7.43329009456e-16,266.670453063,-1.47567905565e-15,1.27378709116e-16,266.670453063,3.16135028661e-15,13.7021518033,13.7021518033,266.670453063,266.670453063,196.922823444,1.59436352792e-15,6.27738674608e-17,196.922823444,1.29662325026e-15,18.7215091978,18.7215091978,196.922823444,196.922823444,109.867014006,5.06162748382e-08,-4.85722573274e-17,109.867014012,2.53703308362e-16,9.89900964539,9.89900964539,109.867013958,109.867014059,19.5808989442,-3.66373598126e-15,-2.98025493173e-15,19.5808989442,-5.11743425413e-17,1.19789377202e-10,1.19789803539e-10,19.5808989442,19.5808989442,9.79044947197,2.81411181398e-16,6.48536527162e-18,9.79044947197,-1.16356244265e-17,19.0192543105,9.79044947197,9.79044947197,19.0192543105,4.90315457671,2.90131101545e-09,-3.78168628348e-18,4.90315458462,-3.59202982864e-18,9.80630916023,4.90315457576,4.90315458557,9.80630916023
torus_R3.0_r1.0_n048,torus,58.8801721733,39.3798872484,19.7251190622,-9.37472755674e-14,-9.80118763927e-17,-1.47204161837e-15,3.57353036051e-16,5.20417042793e-16,-1.949829187e-15,1.51246203062e-16,-2.40519409944e-15,5.09575021068e-18,-5.38121082092e-09,6.49393733232e-15,-6.96686631996e-15,1.11612650545e-14,286.159494845,1.28136182602e-14,5.02401291843e-17,286.159494845,-2.16147847272e-15,14.6780657073,14.6780657073,286.159494845,286.159494845,206.086538381,-7.65499964444e-15,-5.63973081246e-17,206.086538381,-9.65237687028e-16,19.6233030234,19.6233030234,206.086538381,206.086538381,113.090754263,1.53004721657e-08,1.9190378453e-17,113.09075423,3.05812775277e-17,9.87309893938,9.87309893938,113.090754224,113.090754269,19.7215957559,-1.88742250995e-14,2.10768902331e-15,19.7215957559,3.42878937049e-18,-1.44506947844e-11,-1.44506695298e-11,19.7215957559,19.7215957559,9.86079787802,4.04841855433e-17,3.66360174244e-18,9.86079787802,-6.72855403899e-18,19.6582914924,9.86079787802,9.86079787802,19.6582914924,4.93127976582,7.61214806106e-10,-2.03228968918e-18,4.93127976226,-1.85890206389e-19,9.86255953416,4.9312797621,4.93127976597,9.86255953416
torus_R3.0_r1.0_n064,torus,59.0276186015,39.4229650304,19.7312825594,-1.33020656122e-13,1.25681886773e-12,-3.0240365994e-12,1.05358430313e-14,4.86017476264e-13,-1.19149048267e-12,3.14830626846e-15,7.93718389624e-14,-1.94766186686e-13,3.26613135811e-09,1.36149772012e-14,-3.08170372901e-14,7.40537188862e-16,287.262288006,6.6649979168e-15,8.30155386141e-17,287.262288006,-2.37657225632e-14,14.7332184738,14.7332184738,287.262288006,287.262288006,206.599844146,-6.73883261376e-15,3.09303302981e-17,206.599844146,-1.09087913655e-14,19.673923444,19.673923444,206.599844146,206.599844146,113.269810627,1.40435829779e-08,2.97911651945e-16,113.269810507,5.66541670348e-12,9.87157712481,9.87157712481,113.269810505,113.269810628,19.7293007523,1.09781975177e-14,6.9784672832e-16,19.7293007523,2.33837675243e-15,-1.51673565514e-11,-1.51673702753e-11,19.7293007523,19.7293007523,9.864650376,6.20125435753e-17,-6.39948709609e-18,9.864650376,5.48413451038e-18,19.6936642784,9.864650376,9.864650376,19.6936642784,4.93282063761,-9.08423600503e-10,2.09137187513e-17,4.93282063008,8.96834716737e-13,9.86564129169,4.93282062997,4.93282063772,9.86564129169
torus_R3.0_r1.0_n096,torus,59.1331181841,39.4537627259,19.7356858,7.64631955842e-14,-1.44529570603e-14,-2.69090233596e-15,2.24646690139e-16,2.56045185054e-14,1.76117800899e-15,5.96717770682e-17,6.2606170248e-15,-8.18633626599e-15,-5.43650882051e-09,-7.92031371044e-15,7.24154894036e-15,-4.35014437666e-15,288.052397489,1.05502653908e-15,-4.85882602072e-18,288.052397489,3.31099714551e-15,14.7727288339,14.7727288339,288.052397489,288.052397489,206.967275653,-1.72768118367e-15,-6.5709479323e-18,206.967275653,2.58347788966e-15,19.7101649987,19.7101649987,206.967275653,206.967275653,113.397885067,-2.03042162116e-08,3.86247023948e-18,113.39788497,4.50198011466e-18,9.8704834048,9.8704834048,113.397884966,113.397885071,19.7348049984,-6.92495648498e-14,-2.01282133322e-16,19.7348049984,1.06878617285e-17,1.09227511999e-11,1.09227511927e-11,19.7348049984,19.7348049984,9.86740249923,-1.94045622955e-16,-3.90762686154e-18,9.86740249923,-1.22941668097e-18,19.7189577274,9.86740249923,9.86740249923,19.7189577274,4.93392145468,-1.14379200962e-09,-2.71776513657e-18,4.93392144512,-8.33452170868e-19,9.86784290019,4.93392144498,4.93392145482,9.86784290019
torus_R3.0_r1.0_n128,torus,59.1700786521,39.4645474058,19.7372270822,-1.16560895051e-13,2.99627686486e-13,-7.50367196533e-13,-1.48860958282e-16,1.25482957358e-13,-2.97332525354e-13,2.74550483259e-16,2.07039246858e-14,-8.03168227997e-14,-2.69960719873e-09,4.72408570595e-15,4.50126860698e-16,1.07331034522e-14,288.329409342,1.26378101799e-15,-1.07216404002e-16,288.329409342,-9.61936535327e-16,14.7865802505,14.7865802505,288.329409342,288.329409342,207.096031374,6.38105880214e-15,-7.41118416359e-18,207.096031374,-3.38039304329e-16,19.7228661285,19.7228661285,207.096031374,207.096031374,113.442745882,-4.25998526634e-09,6.39675893635e-16,113.442745866,1.42253001548e-12,9.87009928615,9.87009928615,113.442745865,113.442745883,19.7367316181,2.33638520857e-14,5.19748903204e-15,19.7367316181,3.24259479978e-15,-1.40927355613e-11,-1.40927152003e-11,19.7367316181,19.7367316181,9.86836580906,4.92917181121e-16,-5.59129287523e-18,9.86836580906,-1.33352396122e-18,19.7278157877,9.86836580906,9.86836580906,19.7278157877,4.9343067723,-1.43079087123e-09,6.5124965811e-17,4.93430677165,2.24507346747e-13,9.86861353821,4.93430677051,4.93430677345,9.86861353821
holey_slab_W6.0_D4.0_H1.5_n002,holey_slab,30.0,29.3333333333,15.1843644924,-4.18879020479,0.0,0.0,22.5,-4.4408920985e-16,4.30211422042e-16,22.0,-1.11022302463e-16,-4.30211422042e-16,11.3882733693,4.99600361081e-16,-2.77555756156e-17,-3.14159265359,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.444444444,1.38777878078e-16,-2.77555756156e-17,53.1111111111,-6.93889390391e-18,27.0,27.0,53.1111111111,110.444444444,78.1907504893,5.55111512313e-17,4.71844785466e-16,37.3500459927,-5.55111512313e-16,17.6714586764,17.6714586764,37.3500459927,78.1907504893,16.7551608191,2.77555756156e-15,-3.33066907388e-16,8.37758040957,-1.66533453694e-16,-4.71238898038,-4.71238898038,8.37758040957,16.7551608191,8.0,0.0,0.0,8.0,0.0,13.3333333333,8.0,8.0,13.3333333333,3.40339204139,-5.78241158659e-19,-2.31296463464e-18,3.40339204139,5.78241158659e-18,8.37758040957,3.40339204139,3.40339204139,8.37758040957
holey_slab_W6.0_D4.0_H1.5_n004,holey_slab,30.0,29.3333333333,15.1843644924,-4.18879020479,0.0,0.0,22.5,-3.33066907388e-16,1.38777878078e-17,22.0,6.38378239159e-16,-3.60822483003e-16,11.3882733693,4.99600361081e-16,-2.77555756156e-17,-3.14159265359,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.444444444,-4.4408920985e-16,-3.46944695195e-18,53.1111111111,6.76542155631e-17,27.0,27.0,53.1111111111,110.444444444,78.1907504893,2.77555756156e-16,1.11022302463e-16,37.3500459927,-2.49800180541e-16,17.6714586764,17.6714586764,37.3500459927,78.1907504893,16.7551608191,2.77555756156e-15,-3.33066907388e-16,8.37758040957,-1.66533453694e-16,-4.71238898038,-4.71238898038,8.37758040957,16.7551608191,8.0,0.0,0.0,8.0,0.0,13.3333333333,8.0,8.0,13.3333333333,3.40339204139,-2.89120579329e-19,-1.15648231732e-18,3.40339204139,-5.78241158659e-19,8.37758040957,3.40339204139,3.40339204139,8.37758040957
holey_slab_W6.0_D4.0_H1.5_n008,holey_slab,30.0,29.3333333333,15.1843644924,-4.18879020479,0.0,0.0,22.5,8.32667268469e-16,2.22044604925e-16,22.0,1.20736753928e-15,4.71844785466e-16,11.3882733693,4.99600361081e-16,-4.71844785466e-16,-3.14159265359,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.444444444,-3.40873163029e-16,-1.73472347598e-18,53.1111111111,2.21610924056e-16,27.0,27.0,53.1111111111,110.444444444,78.1907504893,1.80411241502e-16,3.88578058619e-16,37.3500459927,-2.77555756156e-17,17.6714586764,17.6714586764,37.3500459927,78.1907504893,16.7551608191,2.77555756156e-15,-3.33066907388e-16,8.37758040957,-1.66533453694e-16,-4.71238898038,-4.71238898038,8.37758040957,16.7551608191,8.0,0.0,0.0,8.0,0.0,13.3333333333,8.0,8.0,13.3333333333,3.40339204139,-1.44560289665e-19,6.36065274525e-18,3.40339204139,2.74664550363e-17,8.37758040957,3.40339204139,3.40339204139,8.37758040957
holey_slab_W6.0_D4.0_H1.5_n016,holey_slab,30.0,29.3333333333,15.1843644924,-4.18879020479,0.0,0.0,22.5,-8.32667268469e-17,1.13624387676e-16,22.0,-1.08940634291e-15,-5.89805981832e-17,11.3882733693,4.99600361081e-16,-2.77555756156e-17,-3.14159265359,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.444444444,-3.87710696881e-16,-2.16840434497e-19,53.1111111111,1.24791670053e-16,27.0,27.0,53.1111111111,110.444444444,78.1907504893,-1.94289029309e-16,-1.94289029309e-16,37.3500459927,2.04697370165e-16,17.6714586764,17.6714586764,37.3500459927,78.1907504893,16.7551608191,2.77555756156e-15,-3.33066907388e-16,8.37758040957,-1.66533453694e-16,-4.71238898038,-4.71238898038,8.37758040957,16.7551608191,8.0,0.0,0.0,8.0,0.0,13.3333333333,8.0,8.0,13.3333333333,3.40339204139,-7.22801448324e-20,-1.06974614352e-17,3.40339204139,1.02637805662e-17,8.37758040957,3.40339204139,3.40339204139,8.37758040957
holey_slab_W6.0_D4.0_H1.5_n032,holey_slab,30.0,29.3333333333,15.1843644923,-4.18879020479,0.0,0.0,22.5,0.0,-1.66750294128e-16,22.0,1.53696499972e-15,-1.56125112838e-16,11.3882733693,4.99600361081e-16,-2.77555756156e-17,-3.14159265359,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.444444444,-5.59990422089e-17,-1.08420217249e-19,53.1111111111,-2.15132816075e-16,27.0,27.0,53.1111111111,110.444444444,78.1907504893,3.86843335143e-16,-1.78676518026e-15,37.3500459927,-2.61943244872e-16,17.6714586764,17.6714586764,37.3500459927,78.1907504893,16.7551608191,2.77555756156e-15,-3.33066907388e-16,8.37758040957,-3.88578058619e-16,-4.71238898038,-4.71238898038,8.37758040957,16.7551608191,8.0,0.0,0.0,8.0,0.0,13.3333333333,8.0,8.0,13.3333333333,3.40339204139,-3.61400724162e-20,3.32488666229e-18,3.40339204139,-1.30827062147e-17,8.37758040957,3.40339204139,3.40339204139,8.37758040957
